"noint noint"	"msm.p10.oral_23_27 noint"	"msm.p25.oral_23_27 noint"	"msm.p50.oral_23_27 noint"	"msm.p10.inj.variable_23_27 noint"	"msm.p25.inj.variable_23_27 noint"	"msm.p50.inj.variable_23_27 noint"
"NYC"	"-27% [-44% to -8%]"	"-27% [-44% to -10%]"	"-37% [-51% to -24%]"	"-57% [-66% to -49%]"	"-27% [-44% to -10%]"	"-37% [-51% to -24%]"	"-57% [-66% to -49%]"
"Miami"	"-26% [-43% to -11%]"	"-29% [-46% to -15%]"	"-45% [-56% to -33%]"	"-65% [-73% to -56%]"	"-29% [-46% to -15%]"	"-45% [-56% to -33%]"	"-65% [-73% to -57%]"
"LA"	"-14% [-36% to 7%]"	"-20% [-40% to -5%]"	"-42% [-56% to -31%]"	"-66% [-73% to -61%]"	"-20% [-40% to -4%]"	"-42% [-56% to -32%]"	"-66% [-73% to -61%]"
"Atlanta"	"-7% [-29% to 4%]"	"-12% [-32% to -2%]"	"-28% [-44% to -19%]"	"-50% [-61% to -42%]"	"-12% [-32% to -2%]"	"-28% [-44% to -19%]"	"-50% [-61% to -42%]"
"Houston"	"-9% [-31% to 13%]"	"-17% [-36% to 3%]"	"-38% [-52% to -24%]"	"-62% [-69% to -53%]"	"-17% [-37% to 3%]"	"-38% [-52% to -24%]"	"-62% [-69% to -53%]"
"Dallas"	"-19% [-40% to -2%]"	"-26% [-45% to -10%]"	"-45% [-58% to -34%]"	"-65% [-73% to -60%]"	"-26% [-45% to -10%]"	"-45% [-58% to -34%]"	"-65% [-73% to -60%]"
"Chicago"	"-3% [-20% to 11%]"	"-5% [-20% to 6%]"	"-21% [-35% to -11%]"	"-51% [-59% to -45%]"	"-5% [-20% to 6%]"	"-21% [-35% to -10%]"	"-52% [-59% to -45%]"
"DC"	"-37% [-55% to -19%]"	"-39% [-56% to -21%]"	"-50% [-64% to -37%]"	"-65% [-76% to -56%]"	"-39% [-56% to -22%]"	"-50% [-64% to -36%]"	"-65% [-76% to -56%]"
"Philadelphia"	"-26% [-48% to -9%]"	"-29% [-50% to -12%]"	"-43% [-59% to -30%]"	"-60% [-71% to -53%]"	"-29% [-50% to -12%]"	"-43% [-59% to -30%]"	"-60% [-71% to -53%]"
"Orlando"	"-23% [-47% to -5%]"	"-27% [-50% to -10%]"	"-44% [-61% to -29%]"	"-63% [-75% to -49%]"	"-27% [-50% to -10%]"	"-44% [-61% to -29%]"	"-63% [-76% to -49%]"
"SF"	"-34% [-52% to -6%]"	"-35% [-53% to -9%]"	"-52% [-66% to -34%]"	"-74% [-82% to -67%]"	"-35% [-53% to -10%]"	"-52% [-66% to -34%]"	"-74% [-82% to -67%]"
"Phoenix"	"-25% [-54% to 1%]"	"-34% [-58% to -11%]"	"-53% [-69% to -37%]"	"-73% [-82% to -63%]"	"-34% [-58% to -12%]"	"-53% [-69% to -37%]"	"-73% [-82% to -63%]"
"Tampa"	"-25% [-50% to -2%]"	"-30% [-52% to -10%]"	"-50% [-65% to -35%]"	"-69% [-79% to -59%]"	"-31% [-52% to -10%]"	"-50% [-65% to -34%]"	"-69% [-79% to -59%]"
