"","MSA/Scenario","Incident Cases (n), 2021","Incident Cases (n), 2030","Incidence (per 100,000), 2021","Incidence (per 100,000), 2030","Reported Cases (n), 2021","Reported Cases (n), 2030","Reported Diagnoses (per 100,000), 2021","Reported Diagnoses (per 100,000), 2030","Prevalent Cases (n), 2021","Prevalent Cases (n), 2030","Prevalence (per 100,000), 2021","Prevalence (per 100,000), 2030","Serostatus-Aware (%), 2021","Serostatus-Aware (%), 2030","Virally Suppressed (%), 2021","Virally Suppressed (%), 2030"
"1","Atlanta-Sandy Springs-Alpharetta, GA","","","","","","","","","","","","","","","",""
"2","Absent COVID","1,314 [1,125-1,549]","1,292 [964-1,650]","31 [26-36]","30 [22-38]","1,270 [1,121-1,425]","1,197 [924-1,470]","29 [26-33]","27 [21-34]","36,057 [34,397-37,770]","42,508 [39,300-46,411]","837 [799-877]","971 [898-1,060]","89% [86-92]","91% [87-94]","58% [54-63]","60% [54-69]"
"3","COVID: Base Case","1,044 [673-1,519]","852 [469-1,371]","24 [16-35]","19 [11-31]","1,171 [959-1,432]","822 [489-1,264]","27 [22-33]","19 [11-29]","35,603 [33,905-37,505]","38,635 [34,653-43,755]","827 [787-871]","882 [791-999]","89% [86-92]","93% [89-96]","45% [35-57]","60% [54-69]"
"4","COVID: Delayed Resumption of HIV Screening, Care, and PrEP","1,139 [710-1,687]","856 [471-1,375]","26 [16-39]","20 [11-31]","1,019 [783-1,299]","829 [492-1,275]","24 [18-30]","19 [11-29]","35,681 [33,972-37,646]","38,780 [34,767-43,997]","829 [789-874]","886 [794-1,005]","89% [85-92]","92% [88-96]","45% [35-57]","60% [54-69]"
"5","COVID: Rebound Increase in Sexual Transmission","1,365 [1,046-1,780]","1,577 [1,105-2,149]","32 [24-41]","36 [25-49]","1,217 [1,012-1,466]","1,444 [1,049-1,909]","28 [23-34]","33 [24-44]","35,923 [34,257-37,838]","44,677 [40,248-50,429]","834 [796-879]","1,020 [919-1,152]","89% [85-91]","90% [85-93]","45% [35-57]","60% [54-69]"
"6","COVID: Rebound Sexual Transmission and Delayed HIV Care","1,504 [1,124-1,979]","1,581 [1,105-2,156]","35 [26-46]","36 [25-49]","1,063 [826-1,340]","1,454 [1,053-1,934]","25 [19-31]","33 [24-44]","36,044 [34,378-37,956]","44,928 [40,422-50,737]","837 [798-881]","1,026 [923-1,159]","88% [84-91]","90% [85-93]","45% [35-57]","60% [54-69]"
"7","Baltimore-Columbia-Towson, MD","","","","","","","","","","","","","","","",""
"8","Absent COVID","238 [186-297]","167 [100-247]","11 [8-13]","7 [4-11]","299 [255-348]","175 [112-249]","13 [11-15]","8 [5-11]","17,570 [16,905-18,247]","16,534 [15,693-17,596]","777 [747-807]","734 [697-781]","96% [94-97]","97% [96-98]","75% [70-78]","78% [71-84]"
"9","COVID: Base Case","212 [130-319]","115 [58-202]","9 [6-14]","5 [3-9]","292 [232-362]","127 [71-208]","13 [10-16]","6 [3-9]","17,498 [16,806-18,172]","16,039 [15,136-17,118]","774 [743-803]","712 [672-760]","95% [94-97]","98% [96-99]","58% [45-73]","78% [71-84]"
"10","COVID: Delayed Resumption of HIV Screening, Care, and PrEP","242 [141-372]","116 [59-203]","11 [6-16]","5 [3-9]","256 [194-328]","129 [72-211]","11 [9-15]","6 [3-9]","17,513 [16,818-18,188]","16,076 [15,155-17,173]","774 [743-804]","714 [673-762]","95% [93-97]","98% [96-99]","58% [45-73]","78% [71-84]"
