outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2010-12,"West",0.0891721037,0.0836346698,0.0950381459
Major Depressive Episode in the Past Year,18 or Older,2010-12,"West",0.0685722167,0.0642008106,0.0732179816
Major Depressive Episode in the Past Year,18 to 25,2010-12,"West",0.0911066733,0.0853779793,0.0971789105
Major Depressive Episode in the Past Year,26 or Older,2010-12,"West",0.0645155564,0.0595656292,0.0698462741
Major Depressive Episode in the Past Year,12 to 17,2010-12,"South",0.0835582232,0.0795863956,0.0877093794
Major Depressive Episode in the Past Year,18 or Older,2010-12,"South",0.0666209164,0.0632733474,0.0701323334
Major Depressive Episode in the Past Year,18 to 25,2010-12,"South",0.0804153367,0.0765578723,0.0844493897
Major Depressive Episode in the Past Year,26 or Older,2010-12,"South",0.0642507237,0.0604503605,0.0682726451
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Midwest",0.0852971501,0.0814343839,0.0893253253
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Midwest",0.0691928539,0.0658754313,0.072664343
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Midwest",0.0883788295,0.0843608328,0.0925688508
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Midwest",0.0659149122,0.0621518997,0.0698887795
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Northeast",0.0790535373,0.0742527689,0.0841364866
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Northeast",0.065454121,0.0614219217,0.0697313582
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Northeast",0.0827144086,0.0778665463,0.087835343
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Northeast",0.0625579172,0.0580210817,0.0674241091
Major Depressive Episode in the Past Year,12 to 17,2010-12,"United States",0.0845124972,0.0816608569,0.0874542353
Major Depressive Episode in the Past Year,18 or Older,2010-12,"United States",0.0674146766,0.0653457784,0.0695442039
Major Depressive Episode in the Past Year,18 to 25,2010-12,"United States",0.0850945958,0.0822129536,0.0880675503
Major Depressive Episode in the Past Year,26 or Older,2010-12,"United States",0.064360531,0.0619832272,0.0668225184
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alabama",0.0873435274,0.0741706067,0.1025967384
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alabama",0.072399305,0.0608899579,0.0858851788
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alabama",0.0900832111,0.0763445071,0.1060105257
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alabama",0.0693046234,0.0564210737,0.0848654897
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alabama Region 1",0.0845397494,0.0643497406,0.1103175695
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alabama Region 1",0.0787268974,0.0598517738,0.1029030347
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alabama Region 1",0.0957496201,0.0734568733,0.1239030726
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alabama Region 1",0.0760736897,0.055566339,0.1033215041
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alabama Region 2",0.0961642525,0.0758837434,0.1211542891
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alabama Region 2",0.0724376113,0.0554436959,0.0941212587
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alabama Region 2",0.0916461062,0.0709244078,0.1176552974
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alabama Region 2",0.0689585013,0.0504427586,0.0936007657
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alabama Region 3",0.072761281,0.054941728,0.0957746369
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alabama Region 3",0.0585526711,0.0437908359,0.0778853799
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alabama Region 3",0.0763501719,0.0577887226,0.1002392023
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alabama Region 3",0.0546590926,0.0386295398,0.0768087752
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alabama Region 4",0.090115968,0.0697916103,0.1156233901
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alabama Region 4",0.0754400241,0.0563999309,0.1002251472
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alabama Region 4",0.0950328968,0.0733449746,0.1222875718
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alabama Region 4",0.0723603013,0.0518764606,0.1000786063
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alaska",0.0771973251,0.0647237761,0.091838724
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alaska",0.0684621692,0.0576379695,0.0811440803
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alaska",0.1026689994,0.0865482088,0.1213934612
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alaska",0.0621733499,0.0501109781,0.0769042165
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alaska Southeast",0.0732436185,0.0538625448,0.0988697322
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alaska Southeast",0.0639829125,0.0458917217,0.0885440633
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alaska Southeast",0.0910805982,0.0678191069,0.1212825655
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alaska Southeast",0.0601946942,0.041235847,0.0870785009
