outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2014-16,"West",0.1306161337,0.1238612786,0.1376814798
Major Depressive Episode in the Past Year,18 or Older,2014-16,"West",0.0665264868,0.0632166858,0.069996629
Major Depressive Episode in the Past Year,18 to 25,2014-16,"West",0.1044487596,0.098156389,0.1110948157
Major Depressive Episode in the Past Year,26 or Older,2014-16,"West",0.0600047423,0.0563365861,0.0638955657
Major Depressive Episode in the Past Year,12 to 17,2014-16,"South",0.1160029449,0.1109674734,0.1212357555
Major Depressive Episode in the Past Year,18 or Older,2014-16,"South",0.0649602378,0.0621880526,0.0678470596
Major Depressive Episode in the Past Year,18 to 25,2014-16,"South",0.0934774755,0.0889730015,0.0981854214
Major Depressive Episode in the Past Year,26 or Older,2014-16,"South",0.060238157,0.0571375328,0.0634957085
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Midwest",0.1270279509,0.1213128507,0.1329715479
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Midwest",0.0684616322,0.0652466668,0.07182284
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Midwest",0.1050515711,0.0998008471,0.1105446226
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Midwest",0.062303365,0.0587256943,0.0660836915
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Northeast",0.1172912203,0.1106829276,0.1242389406
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Northeast",0.0680458805,0.0645582197,0.0717075137
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Northeast",0.1099683759,0.1033290057,0.1169787013
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Northeast",0.0612335204,0.0573961798,0.0653096388
Major Depressive Episode in the Past Year,12 to 17,2014-16,"United States",0.1220737994,0.1184716435,0.1257698534
Major Depressive Episode in the Past Year,18 or Older,2014-16,"United States",0.0666235884,0.0649302773,0.068357831
Major Depressive Episode in the Past Year,18 to 25,2014-16,"United States",0.1014766932,0.0981385722,0.1049151495
Major Depressive Episode in the Past Year,26 or Older,2014-16,"United States",0.0607993105,0.0589336254,0.0627201219
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alabama",0.1129844811,0.0960063222,0.1325249653
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alabama",0.0682421558,0.0586754302,0.0792373876
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alabama",0.0941024519,0.078777206,0.1120464405
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alabama",0.0639501784,0.0533612351,0.0764706376
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alabama Region 1",0.1243627181,0.0996068974,0.1542174116
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alabama Region 1",0.0697898508,0.056048669,0.0865908585
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alabama Region 1",0.0985472695,0.0756047693,0.1274915545
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alabama Region 1",0.0655148958,0.0504997228,0.0845967885
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alabama Region 2",0.1113276328,0.0872884119,0.1409647581
