"","reengage.unsuppress","reengage.suppress"
"(Intercept)","1.2 [ to ]","1.0 [ to ]"
"age.category13-25","0.1 [ to ]","1.3 [ to ]"
"age.category25-35","0.6 [ to ]","1.0 [ to ]"
"age.category45-55","0.9 [ to ]","1.0 [ to ]"
"age.category55+","0.8 [ to ]","1.0 [ to ]"
"sex.riskmsm_idu","1.0 [ to ]","1.0 [ to ]"
"sex.riskheterosexual_male","0.7 [ to ]","1.1 [ to ]"
"sex.riskheterosexual_female","0.7 [ to ]","1.1 [ to ]"
"sex.riskidu_male","0.2 [ to ]","1.3 [ to ]"
"sex.riskidu_female","0.8 [ to ]","1.0 [ to ]"
"sex.riskother","0.9 [ to ]","1.0 [ to ]"
"raceblack","1.3 [ to ]","0.9 [ to ]"
"racehispanic","0.8 [ to ]","1.0 [ to ]"
