"","reengage.unsuppress","reengage.suppress"
"beta10"," 0.083 [ 0.062 to  0.11]"," 0.101 [ 0.077 to  0.13]"
"age.category13-25:1"," 1.439 [ 0.976 to  2.12]"," 0.919 [ 0.627 to  1.35]"
"age.category25-35:1"," 1.156 [ 0.987 to  1.35]"," 0.890 [ 0.763 to  1.04]"
"age.category45-55:1"," 0.702 [ 0.619 to  0.80]"," 0.977 [ 0.868 to  1.10]"
"age.category55+:1"," 0.401 [ 0.343 to  0.47]"," 0.748 [ 0.649 to  0.86]"
"sexFemale:1"," 1.107 [ 0.949 to  1.29]"," 1.081 [ 0.934 to  1.25]"
"raceblack:1"," 1.717 [ 1.521 to  1.94]"," 0.956 [ 0.851 to  1.07]"
"racehispanic:1"," 1.225 [ 1.036 to  1.45]"," 1.022 [ 0.876 to  1.19]"
"riskidu:1"," 0.953 [ 0.793 to  1.15]"," 0.535 [ 0.448 to  0.64]"
"riskmsm:1"," 0.747 [ 0.640 to  0.87]"," 0.789 [ 0.682 to  0.91]"
"riskmsm_idu:1"," 0.857 [ 0.684 to  1.07]"," 0.948 [ 0.767 to  1.17]"
"riskother:1"," 0.456 [ 0.339 to  0.61]"," 0.481 [ 0.372 to  0.62]"
"relative.year:1"," 1.090 [ 1.057 to  1.12]"," 1.206 [ 1.183 to  1.23]"
"siteFENWAY:1"," 0.642 [ 0.488 to  0.84]"," 1.384 [ 1.085 to  1.76]"
"siteJH:1"," 0.744 [ 0.587 to  0.94]"," 1.485 [ 1.192 to  1.85]"
"siteUAB:1"," 1.254 [ 0.994 to  1.58]"," 0.987 [ 0.790 to  1.23]"
"siteUCSD:1"," 0.939 [ 0.743 to  1.19]"," 0.796 [ 0.640 to  0.99]"
"siteUCSF:1"," 0.707 [ 0.500 to  1.00]"," 0.304 [ 0.207 to  0.45]"
"siteUNC:1"," 0.701 [ 0.538 to  0.91]"," 0.541 [ 0.418 to  0.70]"
"siteUW:1"," 1.426 [ 1.125 to  1.81]"," 1.390 [ 1.113 to  1.74]"
"art.naiveTRUE:1"," 1.284 [ 1.161 to  1.42]"," 1.129 [ 1.029 to  1.24]"
"years.in.care:1"," 0.885 [ 0.875 to  0.89]"," 0.894 [ 0.885 to  0.90]"
"aids.defining.illnessTRUE:1","41.277 [28.091 to 60.65]","18.764 [12.544 to 28.07]"
