"","suppress","lost"
"beta10","1.79 [1.34 to 2.39]","0.42 [0.28 to 0.63]"
"age.category13-25:1","1.05 [0.84 to 1.31]","1.04 [0.76 to 1.41]"
"age.category25-35:1","1.00 [0.86 to 1.15]","1.04 [0.86 to 1.25]"
"age.category45-55:1","1.21 [1.06 to 1.38]","0.91 [0.76 to 1.08]"
"age.category55+:1","1.67 [1.41 to 1.98]","1.01 [0.81 to 1.27]"
"sex.riskmsm_idu:1","0.78 [0.65 to 0.94]","1.08 [0.85 to 1.38]"
"sex.riskheterosexual_male:1","0.80 [0.68 to 0.94]","1.00 [0.81 to 1.24]"
"sex.riskheterosexual_female:1","0.73 [0.64 to 0.85]","0.86 [0.71 to 1.04]"
"sex.riskidu_male:1","0.77 [0.61 to 0.97]","1.21 [0.91 to 1.60]"
"sex.riskidu_female:1","0.59 [0.45 to 0.76]","0.90 [0.64 to 1.24]"
"sex.riskother:1","0.81 [0.62 to 1.06]","1.12 [0.81 to 1.55]"
"raceblack:1","0.68 [0.60 to 0.77]","0.75 [0.63 to 0.88]"
"racehispanic:1","1.05 [0.87 to 1.25]","0.77 [0.61 to 0.97]"
"relative.year:1","1.07 [1.02 to 1.11]","1.09 [1.03 to 1.15]"
"siteFENWAY:1","1.20 [0.91 to 1.59]","1.24 [0.84 to 1.83]"
"siteJH:1","1.08 [0.85 to 1.36]","1.77 [1.30 to 2.41]"
"siteUAB:1","1.02 [0.83 to 1.25]","0.88 [0.66 to 1.17]"
"siteUCSD:1","0.76 [0.61 to 0.95]","1.85 [1.36 to 2.50]"
"siteUCSF:1","0.47 [0.36 to 0.61]","1.14 [0.80 to 1.63]"
"siteUNC:1","0.99 [0.77 to 1.27]","1.55 [1.11 to 2.18]"
"siteUW:1","1.19 [0.94 to 1.50]","1.20 [0.86 to 1.66]"
"art.naiveTRUE:1","1.41 [1.27 to 1.56]","1.02 [0.90 to 1.16]"
"years.in.care:1","0.95 [0.94 to 0.96]","0.99 [0.98 to 1.00]"
"aids.defining.illnessTRUE:1","0.68 [0.58 to 0.81]","0.41 [0.31 to 0.54]"
