"","reengage.unsuppress","reengage.suppress"
"beta10","0.05 [0.02 to  0.1]","0.37 [0.20 to  0.7]"
"age.category13-25:1","1.02 [0.48 to  2.2]","0.62 [0.35 to  1.1]"
"age.category25-35:1","0.87 [0.62 to  1.2]","0.73 [0.59 to  0.9]"
"age.category45-55:1","0.75 [0.56 to  1.0]","0.87 [0.73 to  1.0]"
"age.category55+:1","0.40 [0.27 to  0.6]","0.89 [0.73 to  1.1]"
"sex.riskmsm_idu:1","1.20 [0.77 to  1.9]","0.96 [0.74 to  1.3]"
"sex.riskheterosexual_male:1","1.59 [1.11 to  2.3]","1.18 [0.96 to  1.5]"
"sex.riskheterosexual_female:1","1.41 [0.99 to  2.0]","0.97 [0.79 to  1.2]"
"sex.riskidu_male:1","0.88 [0.47 to  1.7]","0.82 [0.60 to  1.1]"
"sex.riskidu_female:1","2.65 [1.57 to  4.4]","0.82 [0.53 to  1.3]"
"sex.riskother:1","1.28 [0.68 to  2.4]","0.84 [0.57 to  1.2]"
"raceblack:1","1.56 [1.18 to  2.1]","1.04 [0.89 to  1.2]"
"racehispanic:1","1.00 [0.67 to  1.5]","1.00 [0.81 to  1.2]"
"relative.year:1","1.10 [0.94 to  1.3]","0.93 [0.84 to  1.0]"
"siteFENWAY:1","0.52 [0.26 to  1.0]","1.51 [1.06 to  2.2]"
"siteJH:1","0.61 [0.36 to  1.0]","1.12 [0.80 to  1.5]"
"siteUAB:1","0.85 [0.52 to  1.4]","0.77 [0.55 to  1.1]"
"siteUCSD:1","1.13 [0.70 to  1.8]","1.56 [1.14 to  2.1]"
"siteUNC:1","0.36 [0.20 to  0.6]","0.86 [0.63 to  1.2]"
"siteUW:1","1.09 [0.67 to  1.8]","1.31 [0.95 to  1.8]"
"art.naiveTRUE:1","1.07 [0.86 to  1.3]","1.23 [1.08 to  1.4]"
"years.in.care:1","1.03 [1.01 to  1.1]","1.04 [1.02 to  1.1]"
"aids.defining.illnessTRUE:1","9.13 [4.31 to 19.3]","4.70 [2.47 to  9.0]"
