"","naive -> supp (slopes)","naive -> supp (noslopes)","naive -> lost (slopes)","naive -> lost (noslopes)","failing -> supp (slopes)","failing -> supp (noslopes)","failing -> lost (slopes)","failing -> lost (noslopes)","supp -> failing (slopes)","supp -> failing (noslopes)","supp -> lost (slopes)","supp -> lost (noslopes)","disengaged (slopes)","disengaged (noslopes)"
"(Intercept)","15.29 [ to ]","14.55 [ to ]","0.16 [ to ]","0.17 [ to ]","1.55 [ to ]","1.56 [ to ]","0.043 [ to ]","0.048 [ to ]","0.073 [ to ]","0.066 [ to ]","0.039 [ to ]","0.044 [ to ]","0.19 [ to ]","0.20 [ to ]"
"age.category13-25"," 1.37 [ to ]"," 1.70 [ to ]","0.54 [ to ]","0.79 [ to ]","1.97 [ to ]","1.16 [ to ]","0.796 [ to ]","1.170 [ to ]","2.110 [ to ]","1.733 [ to ]","1.283 [ to ]","1.455 [ to ]","0.57 [ to ]","0.86 [ to ]"
"age.category25-35"," 1.34 [ to ]"," 1.50 [ to ]","1.03 [ to ]","1.02 [ to ]","1.10 [ to ]","1.05 [ to ]","1.395 [ to ]","1.133 [ to ]","1.070 [ to ]","1.271 [ to ]","1.428 [ to ]","1.137 [ to ]","1.05 [ to ]","0.93 [ to ]"
"age.category45-55"," 0.78 [ to ]"," 0.79 [ to ]","0.85 [ to ]","0.83 [ to ]","1.22 [ to ]","1.14 [ to ]","0.813 [ to ]","0.803 [ to ]","0.823 [ to ]","0.833 [ to ]","0.712 [ to ]","0.719 [ to ]","1.04 [ to ]","0.96 [ to ]"
"age.category55+"," 1.10 [ to ]"," 1.28 [ to ]","0.65 [ to ]","0.64 [ to ]","0.96 [ to ]","1.54 [ to ]","0.920 [ to ]","0.564 [ to ]","0.597 [ to ]","0.578 [ to ]","0.475 [ to ]","0.510 [ to ]","0.70 [ to ]","0.68 [ to ]"
"sex.riskmsm_idu"," 0.52 [ to ]"," 0.61 [ to ]","0.59 [ to ]","0.93 [ to ]","1.02 [ to ]","0.97 [ to ]","0.770 [ to ]","1.099 [ to ]","1.483 [ to ]","1.681 [ to ]","0.583 [ to ]","1.273 [ to ]","4.11 [ to ]","1.14 [ to ]"
"sex.riskheterosexual_male"," 0.74 [ to ]"," 0.71 [ to ]","0.87 [ to ]","0.97 [ to ]","0.84 [ to ]","0.81 [ to ]","0.840 [ to ]","0.972 [ to ]","1.047 [ to ]","1.220 [ to ]","0.883 [ to ]","1.109 [ to ]","0.89 [ to ]","1.12 [ to ]"
"sex.riskheterosexual_female"," 0.85 [ to ]"," 0.97 [ to ]","0.77 [ to ]","0.88 [ to ]","0.77 [ to ]","0.73 [ to ]","0.782 [ to ]","0.908 [ to ]","0.916 [ to ]","1.136 [ to ]","0.901 [ to ]","0.882 [ to ]","0.85 [ to ]","1.19 [ to ]"
"sex.riskidu_male"," 0.63 [ to ]"," 0.78 [ to ]","1.03 [ to ]","1.13 [ to ]","0.89 [ to ]","0.68 [ to ]","1.775 [ to ]","1.459 [ to ]","1.219 [ to ]","1.621 [ to ]","1.538 [ to ]","1.374 [ to ]","0.80 [ to ]","0.86 [ to ]"
"sex.riskidu_female"," 0.49 [ to ]"," 0.42 [ to ]","0.75 [ to ]","0.99 [ to ]","0.45 [ to ]","0.60 [ to ]","1.578 [ to ]","1.199 [ to ]","1.426 [ to ]","2.014 [ to ]","0.640 [ to ]","1.150 [ to ]","0.83 [ to ]","1.12 [ to ]"
"raceblack"," 0.83 [ to ]"," 0.78 [ to ]","1.79 [ to ]","1.51 [ to ]","0.66 [ to ]","0.70 [ to ]","1.356 [ to ]","1.145 [ to ]","1.616 [ to ]","1.649 [ to ]","1.550 [ to ]","1.028 [ to ]","1.30 [ to ]","1.09 [ to ]"
"racehispanic"," 0.96 [ to ]"," 0.97 [ to ]","1.59 [ to ]","1.32 [ to ]","0.66 [ to ]","0.93 [ to ]","1.222 [ to ]","1.026 [ to ]","1.251 [ to ]","1.094 [ to ]","1.288 [ to ]","1.154 [ to ]","1.03 [ to ]","1.22 [ to ]"
"relative.year"," 0.98 [ to ]"," 1.00 [ to ]","1.03 [ to ]","1.01 [ to ]","1.04 [ to ]","1.03 [ to ]","0.986 [ to ]","0.963 [ to ]","0.904 [ to ]","0.925 [ to ]","0.936 [ to ]","0.911 [ to ]","1.05 [ to ]","1.04 [ to ]"
"age.category13-25:relative.year"," 1.11 [ to ]"," 1.00 [ to ]","1.13 [ to ]","1.00 [ to ]","0.90 [ to ]","1.00 [ to ]","1.075 [ to ]","1.000 [ to ]","0.965 [ to ]","1.000 [ to ]","1.024 [ to ]","1.000 [ to ]","1.08 [ to ]","1.00 [ to ]"
"age.category25-35:relative.year"," 1.08 [ to ]"," 1.00 [ to ]","1.00 [ to ]","1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","0.957 [ to ]","1.000 [ to ]","1.035 [ to ]","1.000 [ to ]","0.954 [ to ]","1.000 [ to ]","0.98 [ to ]","1.00 [ to ]"
"age.category45-55:relative.year"," 1.00 [ to ]"," 1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","0.998 [ to ]","1.000 [ to ]","1.002 [ to ]","1.000 [ to ]","1.002 [ to ]","1.000 [ to ]","0.98 [ to ]","1.00 [ to ]"
"age.category55+:relative.year"," 1.11 [ to ]"," 1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","1.11 [ to ]","1.00 [ to ]","0.894 [ to ]","1.000 [ to ]","0.994 [ to ]","1.000 [ to ]","1.015 [ to ]","1.000 [ to ]","0.99 [ to ]","1.00 [ to ]"
"sex.riskmsm_idu:relative.year"," 1.10 [ to ]"," 1.00 [ to ]","1.16 [ to ]","1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","1.075 [ to ]","1.000 [ to ]","1.026 [ to ]","1.000 [ to ]","1.163 [ to ]","1.000 [ to ]","0.78 [ to ]","1.00 [ to ]"
"sex.riskheterosexual_male:relative.year"," 0.97 [ to ]"," 1.00 [ to ]","1.04 [ to ]","1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","1.030 [ to ]","1.000 [ to ]","1.031 [ to ]","1.000 [ to ]","1.048 [ to ]","1.000 [ to ]","1.05 [ to ]","1.00 [ to ]"
"sex.riskheterosexual_female:relative.year"," 1.09 [ to ]"," 1.00 [ to ]","1.05 [ to ]","1.00 [ to ]","0.99 [ to ]","1.00 [ to ]","1.031 [ to ]","1.000 [ to ]","1.044 [ to ]","1.000 [ to ]","0.995 [ to ]","1.000 [ to ]","1.07 [ to ]","1.00 [ to ]"
"sex.riskidu_male:relative.year"," 1.16 [ to ]"," 1.00 [ to ]","1.04 [ to ]","1.00 [ to ]","0.94 [ to ]","1.00 [ to ]","0.956 [ to ]","1.000 [ to ]","1.061 [ to ]","1.000 [ to ]","0.974 [ to ]","1.000 [ to ]","1.01 [ to ]","1.00 [ to ]"
"sex.riskidu_female:relative.year"," 0.92 [ to ]"," 1.00 [ to ]","1.11 [ to ]","1.00 [ to ]","1.06 [ to ]","1.00 [ to ]","0.940 [ to ]","1.000 [ to ]","1.073 [ to ]","1.000 [ to ]","1.128 [ to ]","1.000 [ to ]","1.06 [ to ]","1.00 [ to ]"
"raceblack:relative.year"," 0.95 [ to ]"," 1.00 [ to ]","0.94 [ to ]","1.00 [ to ]","1.01 [ to ]","1.00 [ to ]","0.965 [ to ]","1.000 [ to ]","1.004 [ to ]","1.000 [ to ]","0.919 [ to ]","1.000 [ to ]","0.97 [ to ]","1.00 [ to ]"
"racehispanic:relative.year"," 1.01 [ to ]"," 1.00 [ to ]","0.93 [ to ]","1.00 [ to ]","1.08 [ to ]","1.00 [ to ]","0.963 [ to ]","1.000 [ to ]","0.972 [ to ]","1.000 [ to ]","0.978 [ to ]","1.000 [ to ]","1.04 [ to ]","1.00 [ to ]"
