"","MSA","2017_new_diagnoses"
"1","New York-Jersey City-White Plains, NY-NJ",2416
"2","Los Angeles-Long Beach-Glendale, CA",1720
"3","Atlanta-Sandy Springs-Alpharetta, GA",1659
"4","Houston-The Woodlands-Sugar Land, TX",1330
"5","Miami-Miami Beach-Kendall, FL",1143
"6","Chicago-Naperville-Evanston, IL",1053
"7","Dallas-Plano-Irving, TX",994
"8","Washington-Arlington-Alexandria, DC-VA-MD-WV",756
"9","Fort Lauderdale-Pompano Beach-Sunrise, FL",670
"10","Orlando-Kissimmee-Sanford, FL",654
"11","Philadelphia, PA",554
"12","Phoenix-Mesa-Chandler, AZ",533
"13","Tampa-St. Petersburg-Clearwater, FL",530
"14","Riverside-San Bernardino-Ontario, CA",522
"15","Baltimore-Columbia-Towson, MD",448
"16","Newark, NJ-PA",446
"17","Las Vegas-Henderson-Paradise, NV",442
"18","San Diego-Chula Vista-Carlsbad, CA",412
"19","Charlotte-Concord-Gastonia, NC-SC",388
"20","San Antonio-New Braunfels, TX",375
"21","Jacksonville, FL",331
"22","Detroit-Dearborn-Livonia, MI",326
"23","New Orleans-Metairie, LA",323
"24","Oakland-Berkeley-Livermore, CA",313
"25","Fort Worth-Arlington-Grapevine, TX",313
"26","Anaheim-Santa Ana-Irvine, CA",311
"27","Memphis, TN-MS-AR",305
"28","San Francisco-San Mateo-Redwood City, CA",301
"29","West Palm Beach-Boca Raton-Boynton Beach, FL",288
"30","Austin-Round Rock-Georgetown, TX",285
"31","Indianapolis-Carmel-Anderson, IN",270
"32","Cincinnati, OH-KY-IN",257
"33","Columbus, OH",246
"34","Seattle-Bellevue-Kent, WA",245
"35","Boston, MA",231
"36","Baton Rouge, LA",214
"37","Cleveland-Elyria, OH",195
"38","Sacramento-Roseville-Folsom, CA",189
"39","Frederick-Gaithersburg-Rockville, MD",176
