"year","value","sex","risk","race","age","location_code","location_name"
1993,1780,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
1994,1889,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
1995,1715,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
1996,1525,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
1997,1277,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
1998,1162,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
1999,1012,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2000,973,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2001,1287,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2002,1001,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2003,1028,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2005,1074,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2006,1001,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2007,791,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2008,1156,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2009,943,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2010,959,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2011,734,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2012,691,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2013,626,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2014,593,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2015,553,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2016,526,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2017,448,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2007,17364,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2008,15824,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2009,16280,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2010,14153,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2011,13103,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2012,15128,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2013,16467,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2014,16033,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2015,17571,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2016,16621,"all","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2011,217.481481481481,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2013,163.789890981169,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2014,151.105185185185,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2015,146.7539543058,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2016,127.973180076628,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2017,125.968253968254,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2011,516.518518518518,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2013,462.210109018831,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2014,441.894814814815,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2015,406.2460456942,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2016,398.026819923372,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2017,322.031746031746,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2010,5061.5689229926,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2012,5333.97278911565,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2013,5795.16285759949,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2014,5568.27631254622,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2015,6106.52899408284,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2016,5775.28456677101,"female","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2010,9091.4310770074,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2012,9794.02721088435,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2013,10671.8371424005,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2014,10464.7236874538,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2015,11464.4710059172,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2016,10845.715433229,"male","all","all","all","12580","Baltimore-Columbia-Towson, MD"
2011,33.5816993464052,"female","all","all","13-24 years","12580","Baltimore-Columbia-Towson, MD"
2013,17.3716551040634,"female","all","all","13-24 years","12580","Baltimore-Columbia-Towson, MD"
2014,23.72,"female","all","all","13-24 years","12580","Baltimore-Columbia-Towson, MD"
2015,20.4094903339192,"female","all","all","13-24 years","12580","Baltimore-Columbia-Towson, MD"
2016,19.1455938697318,"female","all","all","13-24 years","12580","Baltimore-Columbia-Towson, MD"
